VSHO11,23740595000117,FDO INV IMOB VOTORANTIM SHOPPING,FII VOT SHOP
VTLT11,27368600000163,FDO INV IMOB VOTORANTIM LOGISTICA,FII VOT LOG
VVPR11,33045581000137,FDO INV IMOB - V2 PROPERTIES,FII V2 PROP
WPLZ11,09326861000139,SHOPPING WEST PLAZA FDO INV IMOB,FII W PLAZA
WTSP11B,28693595000127,FDO INV IMOB - OURINVEST RE I,FII WTC SP
XPCI11,28516301000191,XP CREDITO IMOBILIÁRIO - FDO INV IMOB,FII XP CRED
XPCM11,16802320000103,XP CORPORATE MACAÉ FDO INV IMOB - FII,FII XP MACAE
XPHT11,18308516000163,XP HOTÉIS - FDO INV IMOB - FII,FII XP HOT
XPHT12,18308516000163,XP HOTÉIS - FDO INV IMOB - FII,FII XP HOT
XPIN11,28516325000140,XP INDUSTRIAL FDO INV IMOB - FII,FII XP INDL
XPLG11,26502794000185,XP LOG FDO INV IMOB - FII,FII XP LOG
XPML11,28757546000100,XP MALLS FDO INV IMOB FII,FII XP MALLS
XPPR11,30654849000140,XP PROPERTIES FDO. INV. IMOB.,FII XP PROP
XPSF11,30983020000190,XP SELECTION FDO DE FUNDOS INV IMOB - FII,FII XP SELEC
XTED11,15006267000163,TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII,FII TRXE COR
YCHY11,28267696000136,YAGUARA CAPITAL HIGH YIELD FDO INV IMOB,FII YAGUARA
